Internal ID,Q1: GOING OUT?,Q2: GENDER,Q3: AGE,Q4: COUNTRY,"Q5: STATE, PROVINCE, COUNTY, ETC",Q7: JOY OTHER,Q10: DRESS,Q11: DAY,"Click Coordinates (x, y)",Media
90272821,No,Male,44,United States,NM,Mounds,White and gold,Sunday,"(84, 25)",Science
90272840,No,Male,40,United States,Oregon,"Reese's crispy crunchy bars, 5th avenue bars, ferrero rocher, dries fruit other than raisins",White and gold,Sunday,"(75, 23)",Science
90272841,No,Male,23,United States,exton pa,Unknown,White and gold,Friday,"(70, 10)",Science
90272852,No,Male,43,Unknown,Unknown,Unknown,Unknown,Friday,"(75, 23)",Science
90272854,No,Male,33,Canada,Ontario,using my elbows to get in front of the little kids in line.,Blue and black,Friday,"(55, 5)",Science
90272858,No,Male,40,Canada,Ontario,Unknown,Blue and black,Sunday,"(76, 24)",Science
90272859,No,Female,53,United States,Washington,Peanut butter m&ms ,White and gold,Sunday,"(70, 28)",Science
90272865,No,Male,56,Canada,Quebec,Unknown,White and gold,Friday,"(73, 24)",Science
90272866,No,Male,64,United States,New York,Unknown,White and gold,Sunday,"(77, 24)",Science
90272867,Yes,Male,43,United States,California,Quality brand dark chocolate,White and gold,Sunday,Unknown,Science
90272868,No,Female,37,Canada,Ontario,Cheesy Snax,Blue and black,Sunday,"(75, 25)",Science
90272878,No,Male,64,United States,Texas,Unknown,Unknown,Friday,"(74, 30)",Science
90272880,No,I'd rather not say,59,United States,New York,Cadbury Fingers,Blue and black,Sunday,"(79, 5)",Science
90272881,No,Male,48,United States,Colorado,Unknown,White and gold,Sunday,"(79, 29)",Science
90272885,No,Male,45,United Kingdom,aberdeenshire,Unknown,Blue and black,Sunday,"(58, 5)",Science
90272886,Yes,Male,33,Canada,Alberta,Sour keys,Blue and black,Friday,"(76, 13)",Science
90272887,Yes,Male,37,United States,Wisconsin,Unknown,White and gold,Friday,"(85, 16)",Science
90272891,No,Female,49,United States,RI,"Payday, baby Ruth ",Unknown,Friday,Unknown,Unknown
90272895,No,Male,34,United States,Minnesota,Unknown,Blue and black,Friday,"(80, 25)",Science
90272897,No,Male,35,United States,Michigan,Any full size candy bar,Blue and black,Sunday,"(69, 22)",Science
90272898,Yes,Male,38,United States,Florida,Beer,White and gold,Friday,"(74, 26)",Science
90272899,No,Male,58,United States,New Jersey,"Mounds, Almond Joy (it’s in the name, for god’s sake), ",White and gold,Friday,"(73, 25)",Science
90272901,No,Male,35,United States,Colorado,Unknown,Blue and black,Sunday,"(77, 25)",Science
90272903,Yes,Male,50,United States,California,"Chunky, Marathon Bar, Caramello, Almond Joy, Mounds, Charleston Chew",Blue and black,Sunday,"(75, 22)",Science
